merge_id_muni,id_muni1980,id_muni1985,id_muni1990,id_muni1995,id_muni2000,id_muni2005,id_muni2010,id_muni2015,id_muni2020,name_muni1980,name_muni1985,name_muni1990,name_muni1995,name_muni2000,name_muni2005,name_muni2010,name_muni2015,name_muni2020,note_merge_consol,note_merge_incorp,note_seirei,note_city,note_town,note_change_zone,note_change_name
1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,北海道 札幌市,北海道 札幌市,北海道 札幌市,北海道 札幌市,北海道 札幌市,北海道 札幌市,北海道 札幌市,北海道 札幌市,北海道 札幌市,,,,,,,
1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,北海道 函館市,北海道 函館市,北海道 函館市,北海道 函館市,北海道 函館市,北海道 函館市,北海道 函館市,北海道 函館市,北海道 函館市,,2004年12月1日、戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入,,,,,
1339,1339,1339,1339,1339,1339,1202,1202,1202,1202,北海道 渡島支庁 戸井町,北海道 渡島支庁 戸井町,北海道 渡島支庁 戸井町,北海道 渡島支庁 戸井町,北海道 渡島支庁 戸井町,北海道 函館市,北海道 函館市,北海道 函館市,北海道 函館市,,2004年12月1日、戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入,,,,,
1340,1340,1340,1340,1340,1340,1202,1202,1202,1202,北海道 渡島支庁 尻岸内町,北海道 渡島支庁 恵山町,北海道 渡島支庁 恵山町,北海道 渡島支庁 恵山町,北海道 渡島支庁 恵山町,北海道 函館市,北海道 函館市,北海道 函館市,北海道 函館市,,2004年12月1日、戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入,,,,,1985年4月1日、尻岸内町(01340)が恵山町(01340)に名称変更
1341,1341,1341,1341,1341,1341,1202,1202,1202,1202,北海道 渡島支庁 椴法華村,北海道 渡島支庁 椴法華村,北海道 渡島支庁 椴法華村,北海道 渡島支庁 椴法華村,北海道 渡島支庁 椴法華村,北海道 函館市,北海道 函館市,北海道 函館市,北海道 函館市,,2004年12月1日、戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入,,,,,
1342,1342,1342,1342,1342,1342,1202,1202,1202,1202,北海道 渡島支庁 南茅部町,北海道 渡島支庁 南茅部町,北海道 渡島支庁 南茅部町,北海道 渡島支庁 南茅部町,北海道 渡島支庁 南茅部町,北海道 函館市,北海道 函館市,北海道 函館市,北海道 函館市,,2004年12月1日、戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入,,,,,
1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,北海道 小樽市,北海道 小樽市,北海道 小樽市,北海道 小樽市,北海道 小樽市,北海道 小樽市,北海道 小樽市,北海道 小樽市,北海道 小樽市,,,,,,,
1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,北海道 旭川市,北海道 旭川市,北海道 旭川市,北海道 旭川市,北海道 旭川市,北海道 旭川市,北海道 旭川市,北海道 旭川市,北海道 旭川市,,,,,,,
1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,北海道 室蘭市,北海道 室蘭市,北海道 室蘭市,北海道 室蘭市,北海道 室蘭市,北海道 室蘭市,北海道 室蘭市,北海道 室蘭市,北海道 室蘭市,,,,,,,
1206,1206,1206,1206,1206,1206,1206,1206,1206,1206,北海道 釧路市,北海道 釧路市,北海道 釧路市,北海道 釧路市,北海道 釧路市,北海道 釧路市,北海道 釧路市,北海道 釧路市,北海道 釧路市,2005年10月11日、釧路市(01206)、阿寒町(01666)、音別町(01669)が合併し、釧路市(01206)を新設,,,,,,
