"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","1-1-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女別人口－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","/表章事項 コード","2020_01","2020_01","2020_01"
"","","","","/表章事項","人口【人】","人口【人】","人口【人】"
"","","","","/男女 コード","0","1","2"
"時間軸（年次） コード","時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む） コード","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020000000","2020年","00000","全国","","126,146,099","61,349,581","64,796,518"
"2020000000","2020年","01000","北海道","","5,224,614","2,465,088","2,759,526"
"2020000000","2020年","01100","札幌市","","1,973,395","918,682","1,054,713"
"2020000000","2020年","01101","札幌市中央区","","248,680","112,853","135,827"
"2020000000","2020年","01102","札幌市北区","","289,323","136,596","152,727"
"2020000000","2020年","01103","札幌市東区","","265,379","126,023","139,356"
"2020000000","2020年","01104","札幌市白石区","","211,835","100,062","111,773"
"2020000000","2020年","01105","札幌市豊平区","","225,298","104,154","121,144"
"2020000000","2020年","01106","札幌市南区","","135,777","62,347","73,430"
"2020000000","2020年","01107","札幌市西区","","217,040","100,027","117,013"
"2020000000","2020年","01108","札幌市厚別区","","125,083","56,755","68,328"
"2020000000","2020年","01109","札幌市手稲区","","142,625","66,913","75,712"
"2020000000","2020年","01110","札幌市清田区","","112,355","52,952","59,403"
"2020000000","2020年","01202","函館市","","251,084","113,965","137,119"
"2020000000","2020年","01203","小樽市","","111,299","50,136","61,163"
"2020000000","2020年","01204","旭川市","","329,306","152,108","177,198"
"2020000000","2020年","01205","室蘭市","","82,383","40,390","41,993"
"2020000000","2020年","01206","釧路市","","165,077","77,506","87,571"
"2020000000","2020年","01207","帯広市","","166,536","79,623","86,913"
"2020000000","2020年","01208","北見市","","115,480","54,729","60,751"
"2020000000","2020年","01209","夕張市","","7,334","3,381","3,953"
"2020000000","2020年","01210","岩見沢市","","79,306","37,105","42,201"
"2020000000","2020年","01211","網走市","","35,759","18,060","17,699"
"2020000000","2020年","01212","留萌市","","20,114","9,649","10,465"
"2020000000","2020年","01213","苫小牧市","","170,113","83,522","86,591"
"2020000000","2020年","01214","稚内市","","33,563","16,651","16,912"
"2020000000","2020年","01215","美唄市","","20,413","9,565","10,848"
"2020000000","2020年","01216","芦別市","","12,555","5,762","6,793"
"2020000000","2020年","01217","江別市","","121,056","57,523","63,533"
"2020000000","2020年","01218","赤平市","","9,698","4,388","5,310"
"2020000000","2020年","01219","紋別市","","21,215","9,901","11,314"
"2020000000","2020年","01220","士別市","","17,858","8,416","9,442"
"2020000000","2020年","01221","名寄市","","27,282","13,322","13,960"
"2020000000","2020年","01222","三笠市","","8,040","3,631","4,409"
"2020000000","2020年","01223","根室市","","24,636","11,762","12,874"
"2020000000","2020年","01224","千歳市","","97,950","49,790","48,160"
"2020000000","2020年","01225","滝川市","","39,490","18,832","20,658"
"2020000000","2020年","01226","砂川市","","16,486","7,607","8,879"
"2020000000","2020年","01227","歌志内市","","2,989","1,399","1,590"
"2020000000","2020年","01228","深川市","","20,039","9,362","10,677"
"2020000000","2020年","01229","富良野市","","21,131","9,947","11,184"
"2020000000","2020年","01230","登別市","","46,391","22,146","24,245"
"2020000000","2020年","01231","恵庭市","","70,331","34,088","36,243"
"2020000000","2020年","01233","伊達市","","32,826","15,176","17,650"
"2020000000","2020年","01234","北広島市","","58,171","27,763","30,408"
"2020000000","2020年","01235","石狩市","","56,869","27,324","29,545"
"2020000000","2020年","01236","北斗市","","44,302","20,542","23,760"
"2020000000","2020年","01303","当別町","","15,916","7,703","8,213"
"2020000000","2020年","01304","新篠津村","","3,044","1,484","1,560"
"2020000000","2020年","01331","松前町","","6,260","2,805","3,455"
"2020000000","2020年","01332","福島町","","3,794","1,755","2,039"
"2020000000","2020年","01333","知内町","","4,167","2,060","2,107"
"2020000000","2020年","01334","木古内町","","3,832","1,750","2,082"
"2020000000","2020年","01337","七飯町","","27,686","12,679","15,007"
"2020000000","2020年","01343","鹿部町","","3,760","1,779","1,981"
"2020000000","2020年","01345","森町","","14,338","6,658","7,680"
"2020000000","2020年","01346","八雲町","","15,826","7,894","7,932"
"2020000000","2020年","01347","長万部町","","5,109","2,448","2,661"
"2020000000","2020年","01361","江差町","","7,428","3,569","3,859"
"2020000000","2020年","01362","上ノ国町","","4,306","1,965","2,341"
"2020000000","2020年","01363","厚沢部町","","3,592","1,717","1,875"
"2020000000","2020年","01364","乙部町","","3,403","1,538","1,865"
"2020000000","2020年","01367","奥尻町","","2,410","1,280","1,130"
"2020000000","2020年","01370","今金町","","5,072","2,446","2,626"
"2020000000","2020年","01371","せたな町","","7,398","3,466","3,932"
"2020000000","2020年","01391","島牧村","","1,356","687","669"
"2020000000","2020年","01392","寿都町","","2,838","1,397","1,441"
"2020000000","2020年","01393","黒松内町","","2,791","1,353","1,438"
"2020000000","2020年","01394","蘭越町","","4,568","2,197","2,371"
"2020000000","2020年","01395","ニセコ町","","5,074","2,624","2,450"
"2020000000","2020年","01396","真狩村","","2,045","1,035","1,010"
"2020000000","2020年","01397","留寿都村","","1,911","971","940"
"2020000000","2020年","01398","喜茂別町","","2,156","1,112","1,044"
"2020000000","2020年","01399","京極町","","2,941","1,420","1,521"
"2020000000","2020年","01400","倶知安町","","15,129","7,787","7,342"
"2020000000","2020年","01401","共和町","","5,772","3,047","2,725"
"2020000000","2020年","01402","岩内町","","11,648","5,500","6,148"
"2020000000","2020年","01403","泊村","","1,569","784","785"
"2020000000","2020年","01404","神恵内村","","870","400","470"
"2020000000","2020年","01405","積丹町","","1,831","855","976"
"2020000000","2020年","01406","古平町","","2,745","1,307","1,438"
"2020000000","2020年","01407","仁木町","","3,180","1,526","1,654"
"2020000000","2020年","01408","余市町","","18,000","8,342","9,658"
"2020000000","2020年","01409","赤井川村","","1,165","606","559"
"2020000000","2020年","01423","南幌町","","7,319","3,461","3,858"
"2020000000","2020年","01424","奈井江町","","5,120","2,405","2,715"
"2020000000","2020年","01425","上砂川町","","2,841","1,292","1,549"
"2020000000","2020年","01427","由仁町","","4,822","2,302","2,520"
"2020000000","2020年","01428","長沼町","","10,289","4,919","5,370"
"2020000000","2020年","01429","栗山町","","11,272","5,176","6,096"
"2020000000","2020年","01430","月形町","","3,691","2,185","1,506"
"2020000000","2020年","01431","浦臼町","","1,732","845","887"
"2020000000","2020年","01432","新十津川町","","6,484","2,976","3,508"
